title,itemType,creators,date,url,tags,summary,system_type,participant_mix,participant_observability,operator_observability,public_observability,focus_area,threat_model,claim_type,tag_confidence,institutions
"The Group Mind (1920), William McDougall",bookSection,,1920,https://www.gutenberg.org/files/40826/40826-h/40826-h.htm,Collective Intelligence,"Classic sociological/psychological text theorizing how collectives (crowds, nations) develop an organized 'group mind' distinct from individual psychology.",,,,,,,,theoretical/conceptual framework,summary-only,
More Is Different,journalArticle,,1972,https://www.science.org/doi/10.1126/science.177.4047.393,Collective Intelligence,Anderson's 1972 physics essay arguing complex systems exhibit qualitatively new emergent behavior not reducible to their constituent parts.,,,,,,,,theoretical/conceptual framework,summary-only,Bell Laboratories
Whom or What Does the Representative Individual Represent?,journalArticle,"Kirman, Alan P.",1992,https://www.aeaweb.org/articles?id=10.1257/jep.6.2.117,,Kirman (1992) argues the 'representative agent' macro modelling convention is theoretically unjustified and can misrepresent aggregate outcomes of heterogeneous individuals.,,,,,,,Outdated Models,theoretical/conceptual framework,summary-only,European University Institute
Risk Governance: Towards an Integrative Approach (IRGC White Paper No. 1),report,,2005,https://irgc.org/wp-content/uploads/2018/09/IRGC_WP_No_1_Risk_Governance__reprinted_version_3.pdf,,"Foundational risk-governance framework proposing an integrative approach to identifying, assessing, and managing systemic risks.",,,,,,Redesign,,policy/regulatory analysis,summary-only,International Risk Governance Council
What Do Laboratory Experiments Measuring Social Preferences Reveal About the Real World?,journalArticle,"Levitt, Steven D.",2007,https://www.aeaweb.org/articles?id=10.1257/jep.21.2.153,,"Levitt & List (2007) argue lab experiments on social preferences often fail to predict real-world behavior, questioning external validity of elicited-preference measures.",,,,,,,,theoretical/conceptual framework,summary-only,University of Chicago
"Findings Regarding the Market Events of May 6, 2010",report,,2010,https://www.sec.gov/files/marketevents-report.pdf,Live Systems,Official SEC/CFTC joint report analyzing the causes of the 2010 Flash Crash in US equity and futures markets.,financial system,,,,,Monitoring,Systemic Instability,empirical study,summary-only,U.S. Securities and Exchange Commission; U.S. Commodity Futures Trading Commission
Andrew G Haldane: The Race to Zero,report,,2011,https://www.bis.org/review/r110720a.pdf,,"BIS speech arguing regulation- and technology-driven high-frequency trading fragmented and sped up markets, producing the 2010 Flash Crash and systemic instability requiring market redesign.",financial system,,,,,,Systemic Instability,position/opinion,summary-only,Bank of England; Bank for International Settlements
Shadow Banking,journalArticle,,2013,https://www.newyorkfed.org/medialibrary/media/research/epr/2013/0713adri.pdf,,FRBNY Economic Policy Review (Dec 2013) 'Shadow Banking' paper mapping the credit-intermediation chain and structure of the non-bank shadow banking system.,financial system,,,,,,Systemic Instability,theoretical/conceptual framework,summary-only,Federal Reserve Bank of New York
Regulating Market Microstructure,journalArticle,Thomas H. Ernst,2025,https://www.annualreviews.org/docserver/fulltext/financial/17/1/annurev-financial-112923-112656.pdf?expires=1776733856&id=id&accname=au&checksum=F1B4FA390A6A4B574EA0BCD1D05C9C67,,"Annual Review of Financial Economics survey of market-microstructure regulation: best execution, order routing, tick size, transparency, and auction design.",financial system,,,,,Redesign,,survey/taxonomy,summary-only,
Social media and the spread of misinformation: infectious and a threat to public health,journalArticle,,2025,https://academic.oup.com/heapro/article/40/2/daaf023/8100645#511472616,,"Health-promotion paper arguing tertiary/secondary/primary prevention (monitoring, media literacy, treaty law) is needed to curb algorithmic/bot-driven misinformation spread.",social network,,,,,Steering,,policy/regulatory analysis,summary-only,
The International Risk Governance Council: Reflections on a 20-Year Experiment in Support of Improved Risk Governance,journalArticle,M Granger Morgan,2025,https://pmc.ncbi.nlm.nih.gov/articles/PMC12663898/,,"Retrospective on the IRGC, a nonprofit foundation (2003-2012, later EPFL-affiliated) built to improve institutional risk-governance practice.",,,,,,,,position/opinion,summary-only,International Risk Governance Council; EPFL
Capture the Narrative: Social Media Manipulation Wargaming for Cyberliteracy and Research,conferencePaper,,2026,https://blackhat.com/asia-26/briefings/schedule/index.html#capture-the-narrative---social-media-manipulation-wargaming-for-cyberliteracy-and-research-50370,Security & Adversarial Robustness,Black Hat Asia briefing on a wargaming exercise for social-media manipulation literacy and research; exact findings unknown beyond the title.,social network,,,,,Monitoring,,position/opinion,summary-only,
DOJ Special Counsel's Office archive file,report,,,https://www.justice.gov/archives/sco/file/1373816/dl?inline=,Live Systems,"Unidentified — appears to be a Mueller Special Counsel's Office document, cited in the user's Macro-Scale AI Safety agenda re: bot-farm polarization.",social network,,,,,Monitoring,,empirical study,summary-only,U.S. Department of Justice
"Macroprudential regulation: history, theory and policy",report,,,https://www.bis.org/publ/bppdf/bispap86c.pdf,,"BIS Papers No. 86 (Turalay Kenç): overview of macroprudential regulation's history, theory and policy since the 2008 crisis, covering systemic-risk indicators.",financial system,,,,,Redesign,Outdated Models,policy/regulatory analysis,summary-only,Bank for International Settlements
Types of Measurement Validity,webpage,,,https://conjointly.com/kb/measurement-validity-types/,,"General research-methods explainer covering face, content, construct, predictive, concurrent and discriminant validity.",,,,,,,,theoretical/conceptual framework,summary-only,
